State,District,Date,Year,Month,Avg_rainfall,Agency_name
Odisha,Anugul,2020-01-07,2020,01,0.0,IMD GRID MODEL
Odisha,Anugul,2020-01-14,2020,01,0.0,IMD GRID MODEL
Odisha,Anugul,2020-01-18,2020,01,0.0,IMD GRID MODEL
Odisha,Anugul,2020-01-22,2020,01,0.0,IMD GRID MODEL
Odisha,Anugul,2020-01-23,2020,01,0.0,IMD GRID MODEL
Odisha,Anugul,2020-01-30,2020,01,1.279053754,IMD GRID MODEL
Odisha,Anugul,2020-02-01,2020,02,0.0,IMD GRID MODEL
Odisha,Anugul,2020-02-06,2020,02,2.018489437,IMD GRID MODEL
Odisha,Anugul,2020-02-16,2020,02,0.0,IMD GRID MODEL
Odisha,Anugul,2020-02-18,2020,02,0.0,IMD GRID MODEL
Odisha,Anugul,2020-02-23,2020,02,0.0,IMD GRID MODEL
Odisha,Anugul,2020-03-02,2020,03,0.0,IMD GRID MODEL
Odisha,Anugul,2020-03-08,2020,03,8.915914111,IMD GRID MODEL
Odisha,Anugul,2020-03-11,2020,03,0.0,IMD GRID MODEL
Odisha,Anugul,2020-03-29,2020,03,0.0,IMD GRID MODEL
Odisha,Anugul,2020-03-31,2020,03,0.0,IMD GRID MODEL
Odisha,Anugul,2020-04-02,2020,04,0.0,IMD GRID MODEL
Odisha,Anugul,2020-04-09,2020,04,5.162545555,IMD GRID MODEL
Odisha,Anugul,2020-04-13,2020,04,0.0,IMD GRID MODEL
Odisha,Anugul,2020-04-15,2020,04,0.0,IMD GRID MODEL
Odisha,Anugul,2020-04-25,2020,04,39.44232045,IMD GRID MODEL
Odisha,Anugul,2020-04-26,2020,04,2.246473742,IMD GRID MODEL
Odisha,Anugul,2020-05-03,2020,05,0.008733478,IMD GRID MODEL
Odisha,Anugul,2020-05-02,2020,05,3.09804582,IMD GRID MODEL
Odisha,Anugul,2020-05-09,2020,05,12.29505511,IMD GRID MODEL
Odisha,Anugul,2020-05-15,2020,05,0.164562627,IMD GRID MODEL
Odisha,Anugul,2020-05-18,2020,05,0.577601906,IMD GRID MODEL
Odisha,Anugul,2020-06-02,2020,06,20.64652407,IMD GRID MODEL
Odisha,Anugul,2020-06-08,2020,06,4.690525461,IMD GRID MODEL
Odisha,Anugul,2020-06-18,2020,06,2.889548392,IMD GRID MODEL
Odisha,Anugul,2020-07-03,2020,07,5.07037277,IMD GRID MODEL
Odisha,Anugul,2020-07-05,2020,07,12.65651916,IMD GRID MODEL
Odisha,Anugul,2020-07-13,2020,07,4.052051056,IMD GRID MODEL
Odisha,Anugul,2020-07-17,2020,07,1.011429567,IMD GRID MODEL
Odisha,Anugul,2020-07-21,2020,07,12.26195662,IMD GRID MODEL
Odisha,Anugul,2020-08-06,2020,08,3.412692432,IMD GRID MODEL
Odisha,Anugul,2020-08-07,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-08-10,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-08-17,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-08-19,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-08-22,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-08-24,2020,08,0.0,IMD GRID MODEL
Odisha,Anugul,2020-09-29,2020,09,0.737939308,IMD GRID MODEL
Odisha,Anugul,2020-10-01,2020,10,12.30251493,IMD GRID MODEL
Odisha,Anugul,2020-10-14,2020,10,0.0,IMD GRID MODEL
Odisha,Anugul,2020-10-26,2020,10,0.0,IMD GRID MODEL
Odisha,Anugul,2020-11-07,2020,11,3.412692432,IMD GRID MODEL
Odisha,Anugul,2020-11-08,2020,11,0.0,IMD GRID MODEL
Odisha,Anugul,2020-11-10,2020,11,0.0,IMD GRID MODEL
Odisha,Anugul,2020-11-27,2020,11,1.279053754,IMD GRID MODEL
Odisha,Anugul,2020-12-01,2020,12,0.085106133,IMD GRID MODEL
Odisha,Anugul,2020-12-03,2020,12,6.481137695,IMD GRID MODEL
Odisha,Anugul,2020-12-05,2020,12,2.82830927,IMD GRID MODEL
