State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttarakhand,Pauri Garhwal,2023-03-15,2023,03,1.4791584065,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-03-27,2023,03,0.0051506787,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-02,2023,04,3.6805590032,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-06,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-08,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-12,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-13,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-17,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-04-23,2023,04,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-05-15,2023,05,0.0239418491,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-05-16,2023,05,0.1986425413,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-05-24,2023,05,2.9968330081,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-05-28,2023,05,0.6360473634,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-06-01,2023,06,11.4217964163,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-06-04,2023,06,0.279045355,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-06-08,2023,06,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-06-10,2023,06,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-06-26,2023,06,23.0577703905,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-07-07,2023,07,7.1310126391,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-07-08,2023,07,6.6539378441,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-07-21,2023,07,15.5803044906,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-07-24,2023,07,21.7943887274,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-07-20,2023,07,5.829097306,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-01,2023,08,2.3388893952,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-15,2023,08,2.5803546633,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-19,2023,08,6.876610854,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-28,2023,08,0.5844979731,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-29,2023,08,0.1718702329,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-08-30,2023,08,2.6635715876,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-09-04,2023,09,1.5810575921,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-09-11,2023,09,20.1946126872,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-09-19,2023,09,3.9596428227,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-09-24,2023,09,0.1662638405,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-10-15,2023,10,0.0004182127,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-10-19,2023,10,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-10-21,2023,10,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-01,2023,11,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-09,2023,11,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-10,2023,11,0.0043142534,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-11,2023,11,0.5124281409,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-15,2023,11,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-11-28,2023,11,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-03,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-04,2023,12,0.0560852941,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-12,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-14,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-18,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-22,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-26,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pauri Garhwal,2023-12-29,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-01,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-09,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-12,2023,01,0.058053469,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-14,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-20,2023,01,1.8161538988,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-24,2023,01,0.0268776969,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-01-26,2023,01,0.0653898419,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-02-04,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-02-07,2023,02,0.5243207762,IMD GRID MODEL
Uttarakhand,Pithoragarh,2023-02-09,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Almora,2023-12-29,2023,12,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-12,2023,01,0.1452096573,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-14,2023,01,0.0036521998,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-26,2023,01,0.1145301035,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-27,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-29,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-01-30,2023,01,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-01,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-06,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-09,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-12,2023,02,3.7865349072,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-13,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-18,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-19,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-20,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-24,2023,02,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-02-28,2023,02,1.9034521364,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-03-03,2023,03,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-03-12,2023,03,0.0,IMD GRID MODEL
Uttarakhand,Bageshwar,2023-03-13,2023,03,1.7427231417,IMD GRID MODEL
