State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttar Pradesh,Sultanpur,2021-07-12,2021,07,3.02132861,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-07-23,2021,07,6.057798065,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-07-24,2021,07,2.492403409,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-07-29,2021,07,6.407529585,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-07-30,2021,07,8.257627105,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-02,2021,08,5.716119665,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-12,2021,08,25.38230123,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-13,2021,08,13.62578839,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-17,2021,08,0.327979994,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-18,2021,08,3.717832775,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-19,2021,08,6.058008858,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-23,2021,08,8.703536075,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-08-28,2021,08,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-05,2021,09,0.355818113,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-07,2021,09,2.459733734,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-10,2021,09,2.143015306,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-11,2021,09,0.973015749,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-14,2021,09,2.009483917,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-21,2021,09,1.890040021,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-22,2021,09,0.049666882,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-25,2021,09,16.93317938,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-09-29,2021,09,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-10-04,2021,10,9.677342185,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-10-10,2021,10,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-10-18,2021,10,8.706063431,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-10-21,2021,10,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-10-23,2021,10,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-11-04,2021,11,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-11-08,2021,11,0.0,IMD GRID MODEL
Uttar Pradesh,Sultanpur,2021-11-09,2021,11,0.0,IMD GRID MODEL
