State,District,Date,Year,Month,Avg_rainfall,Agency_name
Kerala,Idukki,2023-04-14,2023,04,0.0,IMD GRID MODEL
Kerala,Idukki,2023-04-15,2023,04,0.0,IMD GRID MODEL
Kerala,Idukki,2023-04-16,2023,04,0.0295425969,IMD GRID MODEL
Kerala,Idukki,2023-04-29,2023,04,6.9882364444,IMD GRID MODEL
Kerala,Idukki,2023-05-04,2023,05,2.1036947676,IMD GRID MODEL
Kerala,Idukki,2023-05-05,2023,05,2.5380127779,IMD GRID MODEL
Kerala,Idukki,2023-05-08,2023,05,0.5333692512,IMD GRID MODEL
Kerala,Idukki,2023-05-19,2023,05,3.3686043368,IMD GRID MODEL
Kerala,Idukki,2023-05-20,2023,05,2.7286893814,IMD GRID MODEL
Kerala,Idukki,2023-05-23,2023,05,7.8863155197,IMD GRID MODEL
Kerala,Idukki,2023-05-27,2023,05,2.2420979436,IMD GRID MODEL
Kerala,Idukki,2023-05-29,2023,05,1.5712020569,IMD GRID MODEL
Kerala,Idukki,2023-06-05,2023,06,0.1565586223,IMD GRID MODEL
Kerala,Idukki,2023-06-07,2023,06,6.8266714417,IMD GRID MODEL
Kerala,Idukki,2023-06-13,2023,06,21.0574472904,IMD GRID MODEL
Kerala,Idukki,2023-06-14,2023,06,4.0729419396,IMD GRID MODEL
Kerala,Idukki,2023-06-17,2023,06,2.0970078752,IMD GRID MODEL
Kerala,Idukki,2023-06-19,2023,06,3.5812729564,IMD GRID MODEL
Kerala,Idukki,2023-06-20,2023,06,2.4190289426,IMD GRID MODEL
Kerala,Idukki,2023-06-21,2023,06,8.2929284503,IMD GRID MODEL
Kerala,Idukki,2023-06-23,2023,06,4.0756672715,IMD GRID MODEL
Kerala,Idukki,2023-06-24,2023,06,1.3897475716,IMD GRID MODEL
Kerala,Idukki,2023-06-30,2023,06,3.7366015479,IMD GRID MODEL
Kerala,Idukki,2023-07-01,2023,07,1.4721872282,IMD GRID MODEL
Kerala,Idukki,2023-07-03,2023,07,11.661816973,IMD GRID MODEL
Kerala,Idukki,2023-07-04,2023,07,46.8925461565,IMD GRID MODEL
Kerala,Idukki,2023-07-08,2023,07,20.9712605661,IMD GRID MODEL
Kerala,Idukki,2023-07-10,2023,07,3.6728315691,IMD GRID MODEL
Kerala,Idukki,2023-07-12,2023,07,6.0572839404,IMD GRID MODEL
Kerala,Idukki,2023-07-23,2023,07,17.5438548456,IMD GRID MODEL
Kerala,Idukki,2023-07-25,2023,07,27.8167410701,IMD GRID MODEL
Kerala,Idukki,2023-07-26,2023,07,21.8296789669,IMD GRID MODEL
Kerala,Idukki,2023-07-28,2023,07,2.5190668645,IMD GRID MODEL
Kerala,Idukki,2023-08-01,2023,08,0.5735314022,IMD GRID MODEL
Kerala,Idukki,2023-08-10,2023,08,1.3631232016,IMD GRID MODEL
Kerala,Idukki,2023-08-15,2023,08,0.0765032807,IMD GRID MODEL
Kerala,Idukki,2023-08-18,2023,08,0.0132658618,IMD GRID MODEL
Kerala,Idukki,2023-08-20,2023,08,0.3877138277,IMD GRID MODEL
Kerala,Idukki,2023-08-23,2023,08,4.5987403285,IMD GRID MODEL
Kerala,Idukki,2023-08-27,2023,08,0.0,IMD GRID MODEL
Kerala,Idukki,2023-08-28,2023,08,0.0,IMD GRID MODEL
Kerala,Idukki,2023-09-02,2023,09,21.1605612647,IMD GRID MODEL
Kerala,Idukki,2023-09-04,2023,09,15.0640660302,IMD GRID MODEL
Kerala,Idukki,2023-09-10,2023,09,6.9555304768,IMD GRID MODEL
Kerala,Idukki,2023-09-16,2023,09,9.6157606617,IMD GRID MODEL
Kerala,Idukki,2023-09-20,2023,09,9.0227185155,IMD GRID MODEL
Kerala,Idukki,2023-09-23,2023,09,16.5380391968,IMD GRID MODEL
Kerala,Idukki,2023-10-01,2023,10,32.969314986,IMD GRID MODEL
Kerala,Idukki,2023-10-08,2023,10,0.7126873626,IMD GRID MODEL
Kerala,Idukki,2023-10-17,2023,10,14.3611159203,IMD GRID MODEL
Kerala,Idukki,2023-10-25,2023,10,22.9208104256,IMD GRID MODEL
