feature,importance,importance_percent
num__day_of_year,0.28067792704018746,28.06779270401874
num__month,0.1985416646598913,19.854166465989124
num__rainfall_roll14_sum,0.0893939270279877,8.939392702798768
num__rainfall_roll7_mean,0.06146306479000192,6.146306479000191
num__rainfall_roll7_sum,0.05210781465446866,5.210781465446865
num__rainfall_roll14_mean,0.04492417905401828,4.492417905401827
num__rainfall_mm,0.03315928469644586,3.315928469644586
num__rainfall_roll3_mean,0.032950268441922,3.295026844192199
num__rainfall_lag1,0.032833758334139304,3.28337583341393
num__rainfall_lag7,0.031680004054989955,3.168000405498995
num__rainfall_lag3,0.02786006694626242,2.786006694626241
num__rainfall_roll3_sum,0.02551672697407057,2.5516726974070565
cat__state_Assam,0.012432688004865824,1.243268800486582
cat__state_Uttar Pradesh,0.011975020586661132,1.197502058666113
cat__state_Odisha,0.00952965721045411,0.9529657210454108
cat__state_Kerala,0.0051259628435629204,0.512596284356292
num__river_daily_mean,0.0040163191695255784,0.40163191695255773
num__river_daily_max_roll3_mean,0.003406181302383538,0.3406181302383537
num__river_daily_min,0.00339722228657441,0.33972222865744095
num__river_daily_mean_roll3_mean,0.003285382985483129,0.3285382985483128
num__river_daily_max,0.0032204230996824264,0.32204230996824257
num__river_daily_mean_lag1,0.0032096766481637604,0.32096766481637595
num__river_daily_max_lag1,0.0030420744743161164,0.30420744743161154
num__river_obs_count,0.002373338909623704,0.23733389096237037
num__river_is_discharge,0.0010540128336050329,0.10540128336050326
cat__district_CACHAR,0.0004690951330245296,0.04690951330245295
cat__district_ERNAKULAM,0.0004377468635221525,0.04377468635221524
cat__district_GOLAGHAT,0.00035636801416826994,0.035636801416826985
cat__district_KANDHAMAL,0.00034318471862741063,0.034318471862741055
cat__district_IDUKKI,0.0003122035343376582,0.031220353433765814
cat__district_BOUDH,0.00030414156074578635,0.03041415607457863
cat__district_MARIGAON,0.00029570521103720307,0.029570521103720302
cat__district_WAYANAD,0.00029540434354818576,0.02954043435481857
cat__district_WEST KARBI ANGLONG,0.00029335992896005627,0.029335992896005622
cat__district_MALAPPURAM,0.0002881757675342123,0.028817576753421222
cat__district_KOLLAM,0.0002850490022292451,0.028504900222924505
cat__district_PALAKKAD,0.0002712645851376591,0.027126458513765904
cat__district_THIRUVANANTHAPURAM,0.000258416876176048,0.025841687617604792
cat__district_SHRAVASTI,0.00025827544052850346,0.02582754405285034
cat__district_KARBI ANGLONG,0.00025775362696315045,0.02577536269631504
